Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old)
GOLD - COMMODITY EXCHANGE INC.,2024-01-16,489334,262360,82467,68047,262360,82467,68047,   -9305,    -584,    6926,53.6,16.9,13.9,53.6,16.9,13.9
GOLD - COMMODITY EXCHANGE INC.,2024-01-09,489849,271665,83051,61121,271665,83051,61121,  -19041,      -6,    9467,55.5,17.0,12.5,55.5,17.0,12.5
GOLD - COMMODITY EXCHANGE INC.,2024-01-02,500364,290706,83057,51654,290706,83057,51654,     863,     932,    4141,58.1,16.6,10.3,58.1,16.6,10.3
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,165998,38738,52126,2607,38738,52126,2607,   -3548,    2460,     531,23.3,31.4,1.6,23.3,31.4,1.6
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,171557,42286,49666,2076,42286,49666,2076,   -8609,  -22360,     202,24.6,29.0,1.2,24.6,29.0,1.2
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,184476,50895,72026,1874,50895,72026,1874,    9210,   -4380,    -149,27.6,39.0,1.0,27.6,39.0,1.0
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-16,50480,10627,14365,289,10627,14365,289,    -417,   -1071,      96,21.1,28.5,0.6,21.1,28.5,0.6
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-09,50169,11044,15436,193,11044,15436,193,     310,    -513,     -32,22.0,30.8,0.4,22.0,30.8,0.4
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-02,51236,10734,15949,225,10734,15949,225,    2312,    4082,       6,21.0,31.1,0.4,21.0,31.1,0.4
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2024-01-16,179758,66230,35299,9482,66230,35299,9482,    5546,   -4651,    1480,36.8,19.6,5.3,36.8,19.6,5.3
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2024-01-09,172631,60684,39950,8002,60684,39950,8002,   -1110,   -6639,     -98,35.2,23.1,4.6,35.2,23.1,4.6
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2024-01-02,177770,61794,46589,8100,61794,46589,8100,    3044,    1931,      38,34.8,26.2,4.6,34.8,26.2,4.6
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-16,213309,44180,100740,5638,44180,100740,5638,    2816,    3427,    1516,20.7,47.2,2.6,20.7,47.2,2.6
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-09,200299,41364,97313,4122,41364,97313,4122,    7779,    6533,     256,20.7,48.6,2.1,20.7,48.6,2.1
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-02,184042,33585,90780,3866,33585,90780,3866,   -3736,   -2109,    1137,18.2,49.3,2.1,18.2,49.3,2.1
USD INDEX - ICE FUTURES U.S.,2024-01-16,23501,15077,13777,1725,15077,13777,1725,    -964,     646,     -64,64.2,58.6,7.3,64.2,58.6,7.3
USD INDEX - ICE FUTURES U.S.,2024-01-09,23878,16041,13131,1789,16041,13131,1789,     100,    -387,     410,67.2,55.0,7.5,67.2,55.0,7.5
USD INDEX - ICE FUTURES U.S.,2024-01-02,23916,15941,13518,1379,15941,13518,1379,     894,    1608,      45,66.7,56.5,5.8,66.7,56.5,5.8
EURO FX - CHICAGO MERCANTILE EXCHANGE,2024-01-16,733091,204294,100202,14105,204294,100202,14105,   -4179,   10606,     666,27.9,13.7,1.9,27.9,13.7,1.9
EURO FX - CHICAGO MERCANTILE EXCHANGE,2024-01-09,714079,208473,89596,13439,208473,89596,13439,   -3439,   -2840,    1828,29.2,12.5,1.9,29.2,12.5,1.9
EURO FX - CHICAGO MERCANTILE EXCHANGE,2024-01-02,718885,211912,92436,11611,211912,92436,11611,     717,   -1368,     347,29.5,12.9,1.6,29.5,12.9,1.6
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,38466,14592,17474,1577,14592,17474,1577,   -1629,    -514,     214,37.9,45.4,4.1,37.9,45.4,4.1
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,38539,16221,17988,1363,16221,17988,1363,   -1822,    -601,     200,42.1,46.7,3.5,42.1,46.7,3.5
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,39215,18043,18589,1163,18043,18589,1163,    3461,     340,    -431,46.0,47.4,3.0,46.0,47.4,3.0
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,163442,45812,93669,6782,45812,93669,6782,   -1514,   14069,    3325,28.0,57.3,4.1,28.0,57.3,4.1
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,156375,47326,79600,3457,47326,79600,3457,    2884,   -7735,     832,30.3,50.9,2.2,30.3,50.9,2.2
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,157003,44442,87335,2625,44442,87335,2625,    5431,   -2979,    -361,28.3,55.6,1.7,28.3,55.6,1.7
